x,t,L
16,3,1200
42,3,1200
32,3,1500
21,3,1800
43,3,1200
51,3,1200
67,3,1200
25,3,1800
60,3,1200
46,3,1200
50,3,1200
54,3,1200
53,3,900
28,3,1500
32,3,1800
53,3,1500
35,3,1800
57,3,1800
51,3,1200
34,3,900
7,3,1200
50,3,1200
21,3,1800
49,3,1200
40,3,1200
40,3,1200
33,3,1200
44,3,1200
68,3,1200
11,3,1200
20,3,1500
23,3,1500
44,3,900
38,3,1500
44,3,1200
51,3,1500
1,3,1500
23,3,1500
17,3,1500
26,3,1500
21,3,1500
1,3,1500
42,3,1200
64,3,1200
47,3,1800
67,3,1200
45,3,750
55,3,1200
50,3,1500
54,3,1200
48,3,1200
54,3,900
65,3,1200
35,3,900
20,3,900
38,3,1200
52,3,900
58,3,1200
65,3,1200
19,3,2400
60,3,900
31,3,2100
3,3,2100
38,3,2100
53,3,1800
40,3,1200
54,3,1200
69,3,1500
46,3,1500
26,3,2100
21,3,2100
58,3,1200
49,3,900
60,3,1200
49,3,1200
50,3,1200
55,3,1200
57,3,1200
49,3,1200
21,3,1200
53,3,900
30,3,900
46,3,900
42,3,1200
31,3,900
51,3,900
42,3,900
41,3,1500
40,3,900
49,3,1200
69,3,1200
61,3,1200
47,3,900
53,3,900
58,3,900
57,3,2100
45,3,1200
52,3,900
53,3,900
47,3,900
52,3,900
58,3,900
60,3,900
57,3,900
58,3,1200
53,3,1200
55,3,900
44,3,900
44,3,900
60,3,1500
52,3,1200
53,3,2100
1,3,2100
20,3,1500
57,3,900
52,3,1200
35,3,900
52,3,900
54,3,1200
53,3,1200
57,3,1200
36,3,900
26,3,1500
52,3,1200
33,3,900
41,3,1200
57,3,900
47,3,1200
43,3,900
54,3,900
39,3,1200
61,3,1200
48,3,1200
58,3,900
54,3,900
68,3,1200
66,3,1200
58,3,1200
54,3,900
38,3,1500
39,3,900
39,3,750
53,3,1500
56,3,1200
43,3,750
36,3,1200
49,3,1200
63,3,1200
55,3,1200
63,3,1200
59,3,1200
46,3,900
58,3,1200
52,3,1200
49,3,1200
44,3,1800
44,3,1200
40,3,1800
10,3,1800
38,3,900
34,3,900
44,3,900
70,3,1200
54,3,1200
48,3,1200
49,3,1200
48,3,900
70,3,1200
67,3,1200
50,3,1200
45,3,1200
61,3,1200
46,3,1200
66,3,1200
53,3,900
40,3,900
48,3,900
52,3,1200
49,3,900
50,3,900
47,3,1200
47,3,1200
54,3,1200
23,3,1200
39,3,2100
55,3,1500
52,3,2100
62,3,1200
66,3,1200
44,3,900
48,3,1200
49,3,1200
43,3,1200
59,3,900
32,3,900
43,3,1200
33,3,1200
1,3,1500
4,3,1500
58,3,1500
57,3,1500
53,3,1200
62,3,1500
44,3,1800
43,3,1800
10,3,1800
12,3,1800
58,3,1200
36,3,900
22,3,2100
40,3,2100
54,3,1500
56,3,1200
59,3,1200
46,3,1200
34,3,1200
45,3,1200
41,3,1200
47,3,1200
45,3,1200
30,3,1200
47,3,1500
45,3,1500
24,3,2100
69,3,1200
68,3,1200
32,3,900
36,3,1200
70,3,1200
67,3,1200
31,3,900
58,3,900
50,3,1200
46,3,1200
50,3,1200
35,3,1200
39,3,1200
33,3,1200
46,3,1200
37,3,1200
44,3,1350
42,3,1350
47,3,1200
44,3,1200
30,3,1200
42,3,1200
36,3,1200
58,3,1200
44,3,1200
44,3,1200
55,3,600
58,3,450
54,3,1200
52,3,1200
51,3,1200
24,3,1200
49,3,1200
58,3,1200
58,3,1200
26,3,1200
45,3,900
52,3,1200
51,3,1200
48,3,1200
58,3,1200
33,3,1200
55,3,1200
51,3,1200
54,3,1200
46,3,1200
47,3,1200
19,3,1200
25,3,2400
48,3,1200
34,3,1500
42,3,1200
57,3,1200
53,3,1200
50,3,1500
53,3,1200
42,3,1200
43,3,1200
39,3,1800
30,3,1800
29,3,1800
48,3,1200
59,3,1200
58,3,1200
57,3,1200
51,3,1200
35,3,1200
50,3,1200
54,3,1200
51,3,1200
33,3,1500
42,3,1500
6,3,2100
39,3,1500
35,3,1200
31,3,1200
47,3,1800
54,3,1200
50,3,1200
47,3,1500
58,3,1200
43,3,1200
56,3,900
52,3,900
38,3,1200
48,3,1200
21,3,1500
28,3,1500
26,3,1800
54,3,1200
54,3,1200
52,3,1200
41,3,1500
44,3,1200
55,3,900
42,3,1200
59,3,1200
48,3,1200
3,3,2100
60,3,1200
54,3,1200
54,3,1200
57,3,1200
51,3,1200
45,3,1200
30,3,1500
32,3,1500
29,3,1200
5,3,2100
53,3,1200
68,3,900
53,3,1200
67,3,1200
68,3,1200
40,3,1200
43,3,1200
47,3,1200
38,3,1500
45,3,1200
50,3,1200
46,3,1200
58,3,1200
44,3,1200
39,3,1200
50,3,1200
39,3,1200
38,3,1200
58,3,1200
40,3,1200
33,3,2100
44,3,1200
42,3,1200
44,3,1200
31,3,1200
51,3,2100
34,3,1200
50,3,1500
42,3,1200
41,3,1200
56,3,900
56,3,900
51,3,1200
45,3,1200
21,3,2100
63,3,1200
46,3,1200
48,3,2400
54,3,1200
56,3,1200
51,3,1200
40,3,1200
47,3,1200
52,3,1200
40,3,1200
45,3,1200
44,3,1200
35,3,1200
48,3,1200
43,3,1200
31,3,1200
49,3,1200
54,3,1200
44,3,1200
48,3,1200
1,3,1350
7,3,1350
56,3,1200
42,3,1200
58,3,1200
28,3,1200
36,3,1200
57,3,1200
53,3,1200
38,3,1200
47,3,1200
40,3,1200
49,3,1200
48,3,1200
54,3,1200
55,3,1200
30,3,1200
44,3,1200
47,3,1200
45,3,1200
54,3,1200
43,3,1200
46,3,1200
43,3,1200
47,3,1200
40,3,1200
52,3,900
58,3,1200
44,3,1200
48,3,1200
47,3,1200
54,3,1200
50,3,1200
51,3,1200
70,3,1800
67,3,1800
30,3,1200
1,3,1500
57,3,1200
45,3,1200
56,3,1200
54,3,1200
50,3,1200
51,3,1200
40,3,1200
54,3,1200
58,3,1200
57,3,1200
58,3,1200
53,3,1200
58,3,1200
40,3,2100
27,3,600
48,3,1200
43,3,1500
27,3,1200
44,3,900
53,3,1200
50,3,1200
52,3,900
39,3,1200
1,3,2100
40,3,1200
20,3,1200
22,3,1200
51,3,900
46,3,1500
42,3,1200
52,3,1200
50,3,1200
58,3,1200
45,3,1200
50,3,900
14,3,1500
45,3,900
42,3,1200
45,3,1500
51,3,1200
23,3,1200
65,3,1200
63,3,750
52,3,1200
23,3,1500
47,3,1200
45,3,1200
47,3,1200
46,3,1200
48,3,1200
45,3,1200
53,3,1200
50,3,1200
40,3,1200
30,3,1200
47,3,900
42,3,1650
50,3,1200
40,3,1200
53,3,1200
20,3,2100
47,3,1200
50,3,1200
36,3,1500
37,3,1200
41,3,1200
51,3,1800
4,3,2100
19,3,1500
18,3,1500
59,3,1200
53,3,1200
53,3,1200
57,3,900
54,3,1200
41,3,1200
53,3,1200
48,3,1200
41,3,1200
53,3,1200
54,3,1200
54,3,1200
54,3,1050
45,3,1200
55,3,1200
15,3,2100
55,3,1200
40,3,1500
47,3,1200
42,3,1200
59,3,1200
54,3,1200
32,3,1200
32,3,1200
61,3,1200
42,3,750
16,3,1500
42,3,1050
59,3,1200
51,3,1200
44,3,1500
18,3,1350
61,3,1200
42,3,1200
68,3,1200
68,3,1200
51,3,1200
52,3,1200
69,3,1200
50,3,1200
49,3,1200
49,3,1200
51,3,1200
43,3,1200
53,3,1200
58,3,1500
21,3,900
16,3,900
57,3,1200
48,3,2100
39,3,1200
34,3,1500
69,3,1200
50,3,1200
58,3,1200
59,3,1200
48,3,1200
58,3,1200
50,3,1200
36,3,1200
30,3,1200
36,3,1200
41,3,1200
42,3,900
40,3,1200
38,3,1200
58,3,1200
47,3,1200
41,3,1200
55,3,1200
57,3,1200
51,3,1200
57,3,1200
41,3,1200
53,3,1800
44,3,1200
59,3,1200
22,3,1500
43,3,1200
50,3,900
52,3,1200
51,3,900
46,3,1200
45,3,1200
58,3,1200
24,3,2100
53,3,1200
66,3,750
60,3,1200
67,3,750
52,3,1200
49,3,900
53,3,900
44,3,1200
58,3,1200
37,3,1200
49,3,900
46,3,1200
36,3,1200
63,3,1200
57,3,1200
58,3,750
42,3,750
55,3,1200
21,3,1500
46,3,1500
59,3,1200
54,3,1200
49,3,1200
56,3,1200
54,3,1200
54,3,1200
57,3,1200
46,3,1200
53,3,1050
54,3,1200
52,3,1200
37,3,1500
17,3,2100
41,3,1500
57,3,1200
69,3,1200
44,3,900
54,3,1500
57,3,1500
56,3,1200
54,3,1200
56,3,1200
56,3,1200
53,3,1200
27,3,1200
40,3,1800
50,3,1500
58,3,1500
38,3,900
56,3,600
41,3,1500
44,3,2100
17,3,1500
15,3,1500
44,3,1500
19,3,1500
60,3,1500
60,3,1500
36,3,1200
47,3,1500
19,3,1800
50,3,1500
50,3,1050
25,3,2100
41,3,1200
42,3,1200
30,3,1500
66,3,1050
49,3,1200
49,3,1500
44,3,1200
57,3,1200
35,3,750
42,3,1350
3,3,2100
5,3,2100
51,3,1200
49,3,1200
38,3,1200
25,3,1200
35,3,1200
42,3,1200
50,3,600
47,3,1200
44,3,1500
50,3,1200
45,3,1200
56,3,1200
59,3,1200
67,3,1050
39,3,1200
58,3,1200
47,3,1200
52,3,1200
47,3,1200
37,3,1200
45,3,2100
69,3,1500
41,3,1200
41,3,1200
44,3,1200
48,3,1200
51,3,2100
69,3,1200
16,3,1500
34,3,1500
50,3,1200
49,3,1200
63,3,1200
30,3,1500
35,3,1200
40,3,2250
46,3,1500
22,3,1200
38,3,1500
59,3,1200
1,3,2400
11,3,1500
42,3,1200
54,3,1800
38,3,1200
48,3,1200
40,3,2100
39,3,1200
58,3,2400
59,3,2400
55,3,1200
26,3,2100
48,3,2100
46,3,2100
61,3,1200
59,3,1500
36,3,1500
36,3,1200
39,3,1200
55,3,1200
51,3,1500
52,3,1200
53,3,900
69,3,1200
53,3,1200
56,3,450
27,3,2100
38,3,1500
36,3,1500
3,3,1500
1,3,1500
3,3,1500
46,3,2400
46,3,2400
35,3,1500
47,3,2100
23,3,1200
69,3,1200
44,3,1200
69,3,1500
67,3,1200
42,3,1500
42,3,1500
65,3,1200
49,3,1200
36,3,1200
53,3,1200
44,3,1800
41,3,1200
67,3,1200
56,3,1200
58,3,1200
64,3,2400
54,3,1200
52,3,1050
55,3,1800
31,3,1200
56,3,1200
67,3,1500
48,3,1200
45,3,1500
58,3,1200
55,3,1200
49,3,1500
52,3,1500
52,3,1500
51,3,1500
56,3,1200
69,3,1200
32,3,1500
50,3,1500
48,3,1500
43,3,1500
47,3,1500
51,3,900
41,3,1200
59,3,1200
27,3,3600
57,3,1500
58,3,1200
60,3,1200
52,3,1500
54,3,1500
64,3,1500
20,3,2100
43,3,1200
54,3,1800
43,3,1500
49,3,2100
45,3,1200
64,3,1500
70,3,1200
67,3,1200
50,3,1200
57,3,1200
52,3,1200
22,3,2100
27,3,1200
58,3,1200
50,3,2400
25,3,2100
22,3,1500
44,3,1500
1,3,1500
52,3,1500
70,3,1200
42,3,1800
29,3,1800
59,3,1200
26,3,1800
41,3,1500
40,3,1500
70,3,600
38,3,2400
49,3,1800
40,3,1200
48,3,1500
23,3,1500
49,3,1500
55,3,1200
47,3,1500
52,3,1500
53,3,1500
41,3,1500
55,3,1200
63,3,1500
45,3,2400
14,3,3600
49,3,1500
55,3,1500
37,3,1500
63,3,1500
62,3,1200
16,3,3600
33,3,1200
36,3,1200
41,3,1500
24,3,1200
42,3,1500
60,3,900
51,3,2100
26,3,1500
39,3,1500
54,3,900
52,3,1500
46,3,1800
40,3,2100
49,3,1200
52,3,2400
33,3,2100
55,3,1200
65,3,1800
57,3,1800
12,3,1200
37,3,1200
57,3,2400
52,3,1200
49,3,1200
35,3,1350
52,3,900
37,3,1200
51,3,1200
55,3,1500
59,3,1200
72,3,1500
43,3,1500
42,3,1500
56,3,1800
59,3,1200
22,3,1800
41,3,1500
24,3,1800
50,3,1500
68,3,1200
65,3,1200
36,3,2400
41,3,1800
43,3,2100
64,3,1200
58,3,2400
53,3,900
51,3,1200
47,3,1200
70,3,600
42,3,1500
9,3,1500
59,3,1500
49,3,1200
48,3,2100
46,3,1500
9,3,1200
28,3,1200
54,3,1200
41,3,1500
32,3,1500
42,3,1200
33,3,1200
6,3,1500
50,3,1500
5,3,2100
48,3,1200
4,3,2400
35,3,3000
54,3,1500
33,3,3000
49,3,2100
45,3,1500
59,3,1200
1,3,2250
33,3,2250
56,3,2400
54,3,2400
59,3,1500
60,3,1500
45,3,1500
40,3,1200
49,3,1200
53,3,1200
43,2,1200
51,3,1500
32,3,4200
57,3,900
36,3,1800
51,3,1500
50,3,1050
54,3,2400
21,3,2400
40,3,1200
42,3,1200
52,3,2100
56,3,1800
48,3,1500
47,3,1500
21,3,2100
55,3,1500
55,3,1500
51,3,1200
59,3,1200
41,3,1500
64,3,900
49,3,1500
48,3,1500
33,3,2100
60,3,2400
32,3,2400
35,3,2100
59,3,1500
51,3,1200
51,3,1200
48,3,2400
20,3,2100
38,3,1800
38,3,1200
43,3,4200
44,3,1500
20,3,2400
48,3,1200
28,3,1200
39,3,1200
48,3,1800
34,3,1350
33,3,2100
27,3,1200
24,3,1800
43,3,1200
43,3,1200
58,3,2400
59,3,1200
59,3,1200
39,3,2400
59,3,1200
20,3,1500
59,3,2400
4,3,4200
61,3,1500
65,3,750
39,3,1500
48,3,1500
41,3,1200
55,3,1650
55,3,1650
41,3,1200
69,3,1200
66,3,1200
35,3,4200
46,3,1200
22,3,2100
21,3,2100
63,3,1800
30,3,1050
50,3,1800
55,3,1800
45,3,3000
24,3,3000
51,3,2400
19,3,3000
53,3,1200
57,3,1200
23,3,1800
34,3,1500
56,3,2400
33,3,2100
57,3,1500
55,3,1500
44,3,2400
27,3,1500
56,3,1200
43,3,1500
49,3,1500
46,3,1800
72,3,900
36,3,2100
74,3,1500
49,3,1500
50,3,1500
51,3,900
55,3,1200
48,3,1200
28,3,1800
42,3,1200
3,3,2100
46,3,1500
24,3,1500
53,3,1050
64,3,600
68,3,1500
72,3,1500
67,3,2400
67,3,1050
46,3,1200
52,3,1500
55,3,1500
45,3,1200
29,3,4200
28,3,1500
19,3,1800
39,3,1500
63,3,2400
21,3,1200
46,3,1500
64,3,1500
61,3,1500
52,3,1800
55,3,1800
40,3,1500
48,3,1500
50,3,1200
42,3,1500
12,3,1500
10,3,1500
51,3,1200
48,3,2400
51,3,1500
51,3,2100
26,3,1350
22,3,1800
56,3,1500
52,3,1200
49,3,1200
52,3,1200
59,3,1200
52,3,1200
58,3,1050
57,3,1200
59,3,1800
35,3,1500
14,3,4200
48,3,1500
20,3,1500
59,3,1200
63,3,1500
61,3,1500
1,3,4200
37,3,1800
25,3,3000
30,3,2400
68,3,1500
59,3,750
56,2,1500
45,3,2100
56,3,1200
39,3,1800
23,3,1500
44,3,900
63,3,1200
46,3,1500
63,3,1800
46,3,1500
16,3,1500
39,3,1200
37,3,1200
55,3,1200
55,3,1200
65,3,1500
43,3,2100
43,3,2100
9,3,2100
45,3,1200
48,3,1500
62,3,900
53,3,900
71,3,1500
29,3,1200
38,3,1500
46,3,1200
46,3,1200
56,3,1200
54,3,1650
15,3,2100
31,3,1200
28,3,1200
24,3,1500
51,3,1200
66,3,1200
68,3,1200
59,3,1500
33,3,1500
56,3,1500
48,3,1500
55,3,1200
54,3,1200
48,3,1200
28,3,1200
50,3,1200
56,3,1200
52,3,1200
43,3,1200
44,3,1200
47,3,1200
28,3,1200
64,3,1800
61,3,1200
18,3,3000
46,3,1200
48,3,900
47,3,1500
54,3,1200
56,3,1200
38,3,1200
37,3,3000
12,3,3000
9,3,3000
55,3,1050
55,3,1200
56,3,1200
50,3,1500
31,3,1800
57,3,1200
54,3,1200
48,3,1200
48,3,1200
50,3,1200
45,3,1200
20,3,2100
51,3,1200
49,3,1500
45,3,2400
50,3,1200
50,3,1200
30,3,1200
28,3,1200
21,3,3000
47,3,2400
43,3,1500
47,3,1200
42,3,1500
49,3,1200
38,3,1200
47,3,2100
43,3,2100
60,3,3000
64,3,1200
44,3,1200
49,3,1200
53,3,1200
50,3,1200
33,3,600
54,3,1200
59,3,1200
44,3,1500
43,3,1500
63,3,1200
1,3,2100
59,3,1200
27,3,600
49,3,1200
48,3,1200
47,3,1500
44,3,1500
50,3,1200
53,3,1200
53,3,1200
50,3,1200
52,3,1200
26,3,2400
48,3,1200
54,3,900
44,3,1500
52,3,1200
58,3,1200
51,3,1500
49,3,1200
28,3,1200
55,3,1200
59,3,1200
58,3,1200
25,3,1200
43,3,1200
41,3,1200
56,3,1200
52,3,1200
53,3,1200
54,3,1200
75,3,1200
37,2,1200
36,3,1200
44,3,1200
51,3,1200
51,3,1200
45,3,1200
55,3,1200
49,3,1200
54,3,1200
38,3,1500
22,3,1500
49,3,1200
58,3,1200
58,3,1200
59,3,1200
20,3,900
53,3,2100
48,3,1200
47,3,1200
48,3,1200
57,3,1200
32,3,1500
32,3,1500
69,3,1200
32,3,2100
39,3,1500
59,3,750
49,3,1200
54,3,1200
60,3,1350
51,3,1200
59,3,1500
55,3,1500
27,3,2100
53,3,1200
54,3,1200
54,3,1200
44,3,1500
45,3,1500
19,3,2400
43,3,1200
60,2,1200
56,3,1200
65,3,1200
65,3,1200
10,3,1200
15,3,1200
18,3,1200
40,3,2100
65,3,1200
48,2,1500
41,3,1200
47,3,1500
12,3,1500
47,3,1200
43,3,1200
56,3,1200
48,3,1200
29,3,1200
49,3,1200
59,3,1200
52,3,1500
55,3,1500
58,3,1500
34,3,2400
52,3,1200
55,3,1800
53,3,1200
57,3,1200
56,3,1200
57,3,1200
47,3,1500
54,3,900
6,3,3600
54,3,1500
55,3,1200
45,3,1500
54,3,1200
56,3,1200
51,3,1500
1,3,3000
41,3,1800
63,3,1200
63,3,1200
24,3,1500
59,3,900
52,3,1200
50,3,1200
53,3,1050
22,2,1500
58,3,1500
22,3,1800
19,3,1800
48,3,1200
41,3,1800
57,3,1200
34,3,1500
13,3,1200
12,3,1200
46,3,1200
38,3,1500
67,3,1200
41,3,1500
54,3,1200
56,3,1200
50,3,1200
44,3,1200
27,3,1200
39,3,1200
52,3,1200
59,3,1350
52,3,1200
27,2,2100
43,3,1200
46,3,2400
25,3,2100
28,3,2100
56,3,1200
19,3,3000
56,3,1200
19,3,1200
55,3,1500
48,2,2400
41,2,2400
48,3,1200
44,2,1200
49,3,1500
17,3,1800
50,3,1500
52,3,1500
21,3,1500
60,2,450
41,3,2400
43,3,1200
46,3,1200
36,3,1800
58,3,1500
67,3,1200
67,3,1050
67,3,1500
66,3,1200
48,3,1200
62,3,1200
43,3,1500
60,3,1050
47,2,900
53,3,1200
43,3,1200
57,3,1500
51,3,1500
38,3,1200
35,3,1200
49,3,1200
59,3,1200
47,3,1200
55,3,1500
37,2,1500
59,2,1800
44,3,1500
18,3,1500
46,3,1200
49,3,1200
23,3,2400
43,3,3000
15,3,3000
35,3,2100
31,3,2100
8,3,2400
2,3,2400
55,3,2100
53,3,1500
59,3,1200
48,3,1200
54,3,1200
54,3,1200
57,3,1200
49,3,1800
19,3,1200
48,3,1200
23,3,1200
46,3,1200
40,3,1800
50,3,1200
49,3,2100
73,3,1500
69,3,1500
57,3,1200
40,3,1800
43,3,1200
64,3,1200
51,3,1800
33,3,1500
34,3,1500
46,3,1200
50,3,1200
57,3,1050
41,3,2100
59,3,1500
59,3,1500
18,3,1500
20,3,1500
67,3,1050
68,3,1200
62,3,1500
73,3,1200
38,3,1800
55,3,1200
66,3,1200
59,3,1200
51,3,1200
48,3,1650
54,3,1200
59,3,1500
47,3,1800
13,3,2100
15,3,1500
39,3,1500
63,3,1200
55,3,1200
48,3,1200
49,2,900
28,3,1500
47,3,1800
19,3,1500
45,3,1200
50,3,1500
49,3,1200
45,3,1800
55,3,1200
52,3,1200
47,3,1200
10,3,2100
37,2,2400
27,3,1500
14,3,3600
46,3,3000
70,3,1200
11,3,1500
43,3,750
37,3,750
61,3,1200
69,3,1200
64,3,1500
68,3,1200
56,3,1500
61,3,600
32,3,2400
30,3,2400
31,3,1500
39,3,2400
31,2,3000
43,3,2100
49,3,1200
1,2,4200
39,3,2100
53,3,1500
49,3,1500
64,3,1200
67,3,1200
60,3,1200
55,2,1500
51,3,1200
51,3,1200
46,3,1200
45,3,1200
52,3,1200
50,3,1800
65,2,1500
58,3,1200
52,3,1200
57,3,1200
55,3,1200
66,3,900
55,3,1200
42,3,2100
24,3,2100
37,3,1350
17,3,2400
23,3,2100
20,3,1800
49,3,1500
51,3,1500
57,3,4200
62,3,600
55,3,1200
54,3,1200
53,3,1200
53,3,1200
35,3,4200
5,3,4200
9,3,4200
33,3,4200
41,3,1200
47,3,1200
20,3,1500
47,3,1500
1,3,3600
40,3,1500
37,3,1200
34,3,1200
1,3,1800
55,2,2400
65,3,1200
52,3,2700
27,3,1200
52,3,1500
19,3,1800
54,3,1200
66,3,1500
37,3,1500
47,3,1200
48,3,1200
33,3,1800
61,3,900
60,3,1200
53,3,1200
53,2,1500
39,2,2100
1,3,600
59,3,2400
2,3,1200
53,3,1500
49,3,1500
60,3,2400
59,3,1200
20,3,1800
38,3,2400
57,2,3000
47,3,600
46,3,600
43,3,1200
55,3,1200
52,3,1200
42,3,1500
31,3,3000
40,3,3000
42,3,3000
45,3,1200
52,3,2100
66,3,3000
47,3,1200
48,3,1200
19,3,1200
1,3,3000
7,3,3000
9,3,3000
21,3,1500
24,3,1500
59,2,450
51,3,1350
25,3,1050
26,2,1500
59,3,1200
69,3,1800
67,3,1350
52,3,1200
39,2,1800
42,3,2100
52,3,1200
54,2,1200
34,3,3000
26,3,1800
58,3,1200
41,3,3600
54,3,2100
42,3,1200
60,3,3600
25,3,1500
26,3,1500
50,3,1200
59,3,1200
75,3,1200
60,3,1200
38,3,1200
68,3,1200
58,3,2100
52,3,1200
56,3,1200
61,3,1050
38,3,1500
37,3,2400
4,3,3000
29,2,1500
1,2,1500
55,3,1200
39,3,2400
49,3,1200
34,3,3600
39,2,1800
51,3,1200
36,3,1200
58,3,1200
54,2,1500
32,3,4200
44,2,2100
28,2,1200
42,3,3000
42,3,2400
38,3,1200
50,3,1200
44,3,1500
48,3,1200
37,3,1500
27,2,1200
44,3,1200
53,3,1200
47,3,3000
24,2,2400
40,3,2400
39,3,1200
60,3,1200
21,3,1200
48,2,1500
48,3,1500
46,3,2100
69,3,1200
62,3,1200
57,2,3000
67,3,1500
40,3,1800
46,3,1500
18,3,1500
30,3,1950
40,3,3000
38,3,3000
9,3,3000
58,3,1200
57,3,1500
50,3,1200
49,3,1200
52,3,2400
34,2,2400
19,3,2100
41,2,1500
42,3,1200
55,3,1500
57,3,1500
52,3,1500
43,2,1500
70,3,1500
63,3,900
61,3,1500
63,3,1200
68,3,1200
60,3,1200
60,3,2400
39,3,2400
9,3,2400
50,3,1200
9,2,4200
37,2,2100
25,3,3600
31,2,2400
55,3,1200
57,3,1500
53,3,1500
36,3,1200
2,3,3000
32,3,1200
30,3,1800
61,3,1500
34,3,1200
34,3,2100
36,3,2100
48,2,1200
43,3,1200
40,3,1200
10,3,4200
46,3,1800
21,3,1500
43,3,1500
43,3,1500
54,3,1200
65,3,1200
54,3,1200
68,3,1200
2,3,2100
42,3,2100
58,3,900
50,3,2100
42,3,3600
29,3,1800
29,2,1200
36,2,3000
15,3,2100
40,3,1200
15,2,2100
41,3,1200
65,3,1200
7,3,2400
62,3,1200
61,3,1200
3,3,1500
54,2,1200
50,2,1500
59,3,1200
1,2,3000
18,3,1500
49,3,900
30,3,1800
29,3,1800
57,3,1500
55,3,1200
58,3,1350
57,3,1350
59,3,1200
53,3,1050
32,3,1800
39,2,3000
39,2,3000
5,2,3000
58,3,1200
2,3,3000
3,3,3000
56,2,1200
54,3,1200
35,3,1950
31,3,1800
50,2,1200
42,3,1500
44,3,1500
36,3,1950
46,3,1500
51,2,1800
54,2,1500
53,2,1500
25,2,1500
28,2,1500
44,3,1500
9,3,1500
12,3,1500
43,3,1500
36,2,1500
28,3,1500
28,3,1800
70,3,1500
14,3,1500
45,3,1500
65,3,1200
69,3,1500
52,2,1200
42,3,1500
56,3,1200
73,3,900
38,3,1200
1,3,1950
33,3,1200
55,3,1500
24,3,1500
42,3,1200
48,3,1200
45,2,1500
26,3,2100
63,3,1200
45,3,1350
38,2,1500
37,3,1500
46,3,1200
50,2,1200
35,3,1800
52,3,1500
33,3,2100
34,3,1950
41,3,2400
50,3,1200
46,2,1500
43,3,2400
2,3,3600
65,3,1200
68,2,1200
45,3,900
51,2,1500
51,2,1500
25,3,2100
51,3,1500
55,3,1200
36,3,3000
34,3,3000
4,3,3000
1,3,3000
55,2,1500
43,3,1200
47,3,1200
56,3,1200
53,3,1200
58,3,1500
37,2,1500
35,3,2100
29,3,1500
55,3,1500
50,3,1500
24,2,1500
59,3,1500
34,3,1500
63,3,1200
38,2,1200
65,3,1200
58,3,1200
58,3,1200
39,2,1500
49,3,1200
53,3,2400
56,3,1500
33,2,1500
33,3,1500
49,2,1200
46,3,1500
51,3,1500
46,3,1500
35,3,1500
40,3,1500
28,2,1500
56,3,1200
60,2,1050
52,3,1800
35,3,3600
32,2,1500
54,3,1500
32,3,1500
